,stars,titles,reviews,likes,dislikes
0,5,Simply awesome,"Very nice camera , Battery back up good, Looking so beautiful,His amazing product, faster charging so amazing , I love this phoneREAD MORE",750,99
1,4,Really Nice,I'm writing this review after 1 month of experience let's get to the point if you are a hardcore gamer stay away from this device yeah 8+ gen 1 not giving it peek performance in this device.. and the camera it's good details is very very good... The display is just awesome you can watch Netflix in HDR 10+.. and the battery you can see in pic BTW I didn't charge 100% battery it's from 86%READ MORE,107,47
2,4,Worth the money,"Good camera, performance also good with snap 8 gen 1. But battery performance is not good. Best screen and under fingerprint sensor. Overall decent device as compared with other on same amount 🙂READ MORE",4,1
3,5,Classy product,Awesome phoneREAD MORE,850,95
4,5,Simply awesome,Amazing 😍READ MORE,156,20
5,5,Great product,Super 😍😍💯 DuparREAD MORE,19,0
6,5,Classy product,Real awesome smart phone in the Range.Everything is the awesome 😎READ MORE,178,29
7,5,Fabulous!,Satisfied product... Value for money 💰READ MORE,82,11
8,4,Really Nice,"I'm give the Review after 15 day and I'm feel very good this phone camera quality is very nice , battery, also and curve display is awesome, thanks to OnePlus 😊READ MORE",58,8
9,4,Pretty good,"Really good,READ MORE",21,2
